region,admin,CB_type,n_points,start_year,end_year,cb_intercept,cb_slope,cb_p_value,cb_r^2
East,Donghae,CB_1,5.000,2014.000,2024.000,-2.826,0.003,0.988,0.000
East,Donghae,CB_2,5.000,2014.000,2024.000,299.812,-0.147,0.499,0.164
East,Donghae,CB_3,5.000,2014.000,2024.000,-59.401,0.030,0.675,0.067
East,Gangneung,CB_1,5.000,2014.000,2024.000,94.748,-0.044,0.789,0.028
East,Gangneung,CB_2,5.000,2014.000,2024.000,-146.546,0.074,0.673,0.067
East,Gangneung,CB_3,5.000,2014.000,2024.000,-21.693,0.012,0.802,0.024
East,Gosung,CB_1,3.000,2014.000,2024.000,769.889,-0.379,0.139,0.953
East,Gosung,CB_2,3.000,2014.000,2024.000,762.776,-0.376,0.380,0.684
East,Gosung,CB_3,3.000,2014.000,2024.000,235.498,-0.116,0.367,0.703
East,Gyungju,CB_1,5.000,2014.000,2024.000,248.250,-0.121,0.206,0.463
East,Gyungju,CB_2,5.000,2014.000,2024.000,358.257,-0.176,0.141,0.568
East,Gyungju,CB_3,5.000,2014.000,2024.000,428.369,-0.211,0.028,0.841
East,Pohang,CB_1,5.000,2014.000,2024.000,-3066.290,1.526,0.020,0.874
East,Pohang,CB_2,5.000,2014.000,2024.000,-3096.235,1.540,0.010,0.921
East,Pohang,CB_3,5.000,2014.000,2024.000,1416.869,-0.696,0.040,0.802
East,Samchuk,CB_1,5.000,2014.000,2024.000,57.570,-0.027,0.751,0.039
East,Samchuk,CB_2,5.000,2014.000,2024.000,119.769,-0.058,0.649,0.078
East,Samchuk,CB_3,5.000,2014.000,2024.000,313.813,-0.155,0.167,0.523
East,Sokcho,CB_1,4.000,2014.000,2022.000,-409.047,0.203,0.117,0.780
East,Sokcho,CB_2,4.000,2014.000,2022.000,290.098,-0.143,0.275,0.525
East,Sokcho,CB_3,4.000,2014.000,2022.000,-114.664,0.057,0.090,0.828
East,Uljin,CB_1,5.000,2014.000,2024.000,151.735,-0.072,0.653,0.076
East,Uljin,CB_2,5.000,2014.000,2024.000,420.122,-0.207,0.078,0.699
East,Uljin,CB_3,5.000,2014.000,2024.000,535.053,-0.264,0.201,0.471
East,Ulsan,CB_1,5.000,2014.000,2024.000,-1544.976,0.769,0.036,0.813
East,Ulsan,CB_2,5.000,2014.000,2024.000,-614.917,0.307,0.035,0.819
East,Ulsan,CB_3,5.000,2014.000,2024.000,351.785,-0.172,0.025,0.851
East,YangYang,CB_1,5.000,2014.000,2024.000,662.801,-0.327,0.190,0.488
East,YangYang,CB_2,5.000,2014.000,2024.000,378.743,-0.187,0.302,0.340
East,YangYang,CB_3,5.000,2014.000,2024.000,205.237,-0.101,0.126,0.596
East,Youngduk,CB_1,5.000,2014.000,2024.000,237.160,-0.116,0.317,0.324
East,Youngduk,CB_2,5.000,2014.000,2024.000,-42.158,0.022,0.694,0.059
East,Youngduk,CB_3,5.000,2014.000,2024.000,434.386,-0.214,0.177,0.508
Jeju,Aewol,CB_1,3.000,2016.000,2023.000,-238.137,0.120,0.228,0.877
Jeju,Aewol,CB_2,3.000,2016.000,2023.000,-113.597,0.057,0.256,0.847
Jeju,Aewol,CB_3,3.000,2016.000,2023.000,282.222,-0.139,0.293,0.803
Jeju,Anduk,CB_1,3.000,2016.000,2023.000,487.051,-0.239,0.078,0.985
Jeju,Anduk,CB_2,3.000,2016.000,2023.000,-116.689,0.058,0.553,0.417
Jeju,Anduk,CB_3,3.000,2016.000,2023.000,-147.570,0.073,0.454,0.572
Jeju,Daejung,CB_1,3.000,2016.000,2023.000,56.233,-0.023,0.692,0.217
Jeju,Daejung,CB_2,3.000,2016.000,2023.000,-240.895,0.121,0.705,0.200
Jeju,Daejung,CB_3,3.000,2016.000,2023.000,108.251,-0.052,0.886,0.032
Jeju,Gujwa,CB_1,3.000,2016.000,2023.000,-226.458,0.121,0.647,0.278
Jeju,Gujwa,CB_2,3.000,2016.000,2023.000,-494.540,0.247,0.352,0.724
Jeju,Gujwa,CB_3,3.000,2016.000,2023.000,380.547,-0.186,0.164,0.935
Jeju,Hallim,CB_1,3.000,2016.000,2023.000,1327.501,-0.652,0.238,0.866
Jeju,Hallim,CB_2,3.000,2016.000,2023.000,-366.153,0.182,0.069,0.988
Jeju,Hallim,CB_3,3.000,2016.000,2023.000,-293.574,0.147,0.565,0.398
Jeju,Hangyung,CB_1,3.000,2016.000,2023.000,373.625,-0.182,0.083,0.983
Jeju,Hangyung,CB_2,3.000,2016.000,2023.000,-151.865,0.076,0.044,0.995
Jeju,Hangyung,CB_3,3.000,2016.000,2023.000,-385.286,0.192,0.196,0.908
Jeju,Jeju,CB_1,4.000,2016.000,2023.000,2140.115,-1.050,0.871,0.017
Jeju,Jeju,CB_2,4.000,2016.000,2023.000,646.970,-0.317,0.879,0.015
Jeju,Jeju,CB_3,4.000,2016.000,2023.000,905.760,-0.446,0.590,0.168
Jeju,Jocheon,CB_1,3.000,2016.000,2023.000,-31.782,0.018,0.362,0.710
Jeju,Jocheon,CB_2,3.000,2016.000,2023.000,-28.074,0.015,0.819,0.078
Jeju,Jocheon,CB_3,3.000,2016.000,2023.000,-6.679,0.004,0.919,0.016
Jeju,Namwon,CB_1,3.000,2016.000,2023.000,-92.649,0.050,0.297,0.798
Jeju,Namwon,CB_2,3.000,2016.000,2023.000,372.117,-0.182,0.134,0.956
Jeju,Namwon,CB_3,3.000,2016.000,2023.000,-611.928,0.304,0.066,0.989
Jeju,Pyosun,CB_1,3.000,2016.000,2023.000,159.466,-0.077,0.143,0.950
Jeju,Pyosun,CB_2,3.000,2016.000,2023.000,168.645,-0.083,0.310,0.781
Jeju,Pyosun,CB_3,3.000,2016.000,2023.000,-352.637,0.175,0.156,0.941
Jeju,Seoguipo,CB_1,3.000,2016.000,2023.000,251.113,-0.120,0.312,0.778
Jeju,Seoguipo,CB_2,3.000,2016.000,2023.000,332.571,-0.163,0.251,0.853
Jeju,Seoguipo,CB_3,3.000,2016.000,2023.000,-692.627,0.344,0.278,0.821
Jeju,Sungsan,CB_1,3.000,2016.000,2023.000,-136.676,0.073,0.410,0.640
Jeju,Sungsan,CB_2,3.000,2016.000,2023.000,58.058,-0.027,0.849,0.055
Jeju,Sungsan,CB_3,3.000,2016.000,2023.000,-461.334,0.230,0.352,0.724
Jeju,Swoguipo,CB_1,1.000,2019.000,2019.000,,,,
Jeju,Swoguipo,CB_2,1.000,2019.000,2019.000,,,,
Jeju,Swoguipo,CB_3,1.000,2019.000,2019.000,,,,
South,Gangjin,CB_1,4.000,2018.000,2024.000,-2.288,0.001,0.792,0.043
South,Gangjin,CB_2,4.000,2018.000,2024.000,-0.238,0.000,0.737,0.069
South,Gangjin,CB_3,4.000,2018.000,2024.000,-0.545,0.000,0.474,0.276
South,Geoje,CB_1,5.000,2015.000,2024.000,-639.997,0.320,0.103,0.641
South,Geoje,CB_2,5.000,2015.000,2024.000,163.048,-0.080,0.489,0.171
South,Geoje,CB_3,5.000,2015.000,2024.000,236.892,-0.117,0.299,0.343
South,Gohung,CB_1,4.000,2018.000,2024.000,-329.863,0.168,0.059,0.886
South,Gohung,CB_2,4.000,2018.000,2024.000,-194.930,0.097,0.005,0.990
South,Gohung,CB_3,4.000,2018.000,2024.000,-48.313,0.024,0.159,0.708
South,Gosung,CB_1,5.000,2015.000,2024.000,-234.387,0.117,0.059,0.746
South,Gosung,CB_2,5.000,2015.000,2024.000,-17.520,0.009,0.332,0.307
South,Gosung,CB_3,5.000,2015.000,2024.000,-10.935,0.005,0.184,0.496
South,Namhae,CB_1,5.000,2015.000,2024.000,-543.142,0.271,0.023,0.861
South,Namhae,CB_2,5.000,2015.000,2024.000,-65.027,0.033,0.508,0.158
South,Namhae,CB_3,5.000,2015.000,2024.000,83.719,-0.041,0.165,0.527
South,Tongyoung,CB_1,5.000,2015.000,2024.000,-789.062,0.396,0.010,0.919
South,Tongyoung,CB_2,5.000,2015.000,2024.000,30.088,-0.014,0.768,0.034
South,Tongyoung,CB_3,5.000,2015.000,2024.000,237.037,-0.117,0.252,0.400
South,Wando,CB_1,4.000,2018.000,2024.000,-1815.092,0.908,0.312,0.474
South,Wando,CB_2,4.000,2018.000,2024.000,-343.543,0.171,0.026,0.948
South,Wando,CB_3,4.000,2018.000,2024.000,-157.235,0.078,0.162,0.702
South,Yeosu,CB_1,4.000,2018.000,2024.000,-1263.443,0.633,0.175,0.680
South,Yeosu,CB_2,4.000,2018.000,2024.000,-389.747,0.194,0.034,0.933
South,Yeosu,CB_3,4.000,2018.000,2024.000,-168.729,0.084,0.144,0.732
West,Anmado1,CB_1,1.000,0.105,0.105,,,,
West,Anmado1,CB_2,1.000,0.105,0.105,,,,
West,Anmado1,CB_3,1.000,0.105,0.105,,,,
West,Anmado2,CB_1,1.000,0.214,0.214,,,,
West,Anmado2,CB_2,1.000,0.214,0.214,,,,
West,Anmado2,CB_3,1.000,0.214,0.214,,,,
West,Baegado1,CB_1,1.000,0.103,0.103,,,,
West,Baegado1,CB_2,1.000,0.103,0.103,,,,
West,Baegado1,CB_3,1.000,0.103,0.103,,,,
West,Baegado2,CB_1,1.000,0.108,0.108,,,,
West,Baegado2,CB_2,1.000,0.108,0.108,,,,
West,Baegado2,CB_3,1.000,0.108,0.108,,,,
West,Bigumdo,CB_1,1.000,0.074,0.074,,,,
West,Bigumdo,CB_2,1.000,0.074,0.074,,,,
West,Bigumdo,CB_3,1.000,0.074,0.074,,,,
West,Byunsanbando,CB_1,1.000,0.469,0.469,,,,
West,Byunsanbando,CB_2,1.000,0.469,0.469,,,,
West,Byunsanbando,CB_3,1.000,0.469,0.469,,,,
West,Dochodo,CB_1,1.000,0.092,0.092,,,,
West,Dochodo,CB_2,1.000,0.092,0.092,,,,
West,Dochodo,CB_3,1.000,0.092,0.092,,,,
West,Dukjukdo1,CB_1,1.000,0.378,0.378,,,,
West,Dukjukdo1,CB_2,1.000,0.378,0.378,,,,
West,Dukjukdo1,CB_3,1.000,0.378,0.378,,,,
West,Dukjukdo2,CB_1,1.000,0.111,0.111,,,,
West,Dukjukdo2,CB_2,1.000,0.111,0.111,,,,
West,Dukjukdo2,CB_3,1.000,0.111,0.111,,,,
West,Gaeuido,CB_1,1.000,0.358,0.358,,,,
West,Gaeuido,CB_2,1.000,0.358,0.358,,,,
West,Gaeuido,CB_3,1.000,0.358,0.358,,,,
West,Gagoedo1,CB_1,1.000,0.166,0.166,,,,
West,Gagoedo1,CB_2,1.000,0.166,0.166,,,,
West,Gagoedo1,CB_3,1.000,0.166,0.166,,,,
West,Gagoedo2,CB_1,1.000,0.091,0.091,,,,
West,Gagoedo2,CB_2,1.000,0.091,0.091,,,,
West,Gagoedo2,CB_3,1.000,0.091,0.091,,,,
West,Gwallido,CB_1,1.000,0.139,0.139,,,,
West,Gwallido,CB_2,1.000,0.139,0.139,,,,
West,Gwallido,CB_3,1.000,0.139,0.139,,,,
West,Hajodo,CB_1,1.000,0.122,0.122,,,,
West,Hajodo,CB_2,1.000,0.122,0.122,,,,
West,Hajodo,CB_3,1.000,0.122,0.122,,,,
West,Hodo,CB_1,1.000,0.264,0.264,,,,
West,Hodo,CB_2,1.000,0.264,0.264,,,,
West,Hodo,CB_3,1.000,0.264,0.264,,,,
West,Hongdo1,CB_1,1.000,0.337,0.337,,,,
West,Hongdo1,CB_2,1.000,0.337,0.337,,,,
West,Hongdo1,CB_3,1.000,0.337,0.337,,,,
West,Hongdo2,CB_1,1.000,0.264,0.264,,,,
West,Hongdo2,CB_2,1.000,0.264,0.264,,,,
West,Hongdo2,CB_3,1.000,0.264,0.264,,,,
West,Huksando1,CB_1,1.000,0.232,0.232,,,,
West,Huksando1,CB_2,1.000,0.232,0.232,,,,
West,Huksando1,CB_3,1.000,0.232,0.232,,,,
West,Huksando2,CB_1,1.000,0.220,0.220,,,,
West,Huksando2,CB_2,1.000,0.220,0.220,,,,
West,Huksando2,CB_3,1.000,0.220,0.220,,,,
West,Jawoldo,CB_1,1.000,0.232,0.232,,,,
West,Jawoldo,CB_2,1.000,0.232,0.232,,,,
West,Jawoldo,CB_3,1.000,0.232,0.232,,,,
West,Myungdo,CB_1,1.000,0.272,0.272,,,,
West,Myungdo,CB_2,1.000,0.272,0.272,,,,
West,Myungdo,CB_3,1.000,0.272,0.272,,,,
West,Nokdo,CB_1,1.000,0.137,0.137,,,,
West,Nokdo,CB_2,1.000,0.137,0.137,,,,
West,Nokdo,CB_3,1.000,0.137,0.137,,,,
West,Sangjodo,CB_1,1.000,0.071,0.071,,,,
West,Sangjodo,CB_2,1.000,0.071,0.071,,,,
West,Sangjodo,CB_3,1.000,0.071,0.071,,,,
West,Sansido,CB_1,1.000,0.403,0.403,,,,
West,Sansido,CB_2,1.000,0.403,0.403,,,,
West,Sansido,CB_3,1.000,0.403,0.403,,,,
West,Seoguchado,CB_1,1.000,0.102,0.102,,,,
West,Seoguchado,CB_2,1.000,0.102,0.102,,,,
West,Seoguchado,CB_3,1.000,0.102,0.102,,,,
West,Songeedo,CB_1,1.000,0.147,0.147,,,,
West,Songeedo,CB_2,1.000,0.147,0.147,,,,
West,Songeedo,CB_3,1.000,0.147,0.147,,,,
West,Sunyudo,CB_1,1.000,0.139,0.139,,,,
West,Sunyudo,CB_2,1.000,0.139,0.139,,,,
West,Sunyudo,CB_3,1.000,0.139,0.139,,,,
West,Taean1,CB_1,1.000,0.542,0.542,,,,
West,Taean1,CB_2,1.000,0.542,0.542,,,,
West,Taean1,CB_3,1.000,0.542,0.542,,,,
West,Taean2,CB_1,1.000,0.373,0.373,,,,
West,Taean2,CB_2,1.000,0.373,0.373,,,,
West,Taean2,CB_3,1.000,0.373,0.373,,,,
West,Uhchungdo,CB_1,1.000,0.549,0.549,,,,
West,Uhchungdo,CB_2,1.000,0.549,0.549,,,,
West,Uhchungdo,CB_3,1.000,0.549,0.549,,,,
West,Waeyundo1,CB_1,1.000,0.179,0.179,,,,
West,Waeyundo1,CB_2,1.000,0.179,0.179,,,,
West,Waeyundo1,CB_3,1.000,0.179,0.179,,,,
West,Waeyundo2,CB_1,1.000,0.144,0.144,,,,
West,Waeyundo2,CB_2,1.000,0.144,0.144,,,,
West,Waeyundo2,CB_3,1.000,0.144,0.144,,,,
West,Wuido1,CB_1,1.000,0.159,0.159,,,,
West,Wuido1,CB_2,1.000,0.159,0.159,,,,
West,Wuido1,CB_3,1.000,0.159,0.159,,,,
West,Wuido2,CB_1,1.000,0.272,0.272,,,,
West,Wuido2,CB_2,1.000,0.272,0.272,,,,
West,Wuido2,CB_3,1.000,0.272,0.272,,,,
West,고창군,CB_1,1.000,2020.000,2020.000,,,,
West,고창군,CB_2,1.000,2020.000,2020.000,,,,
West,고창군,CB_3,1.000,2020.000,2020.000,,,,
West,군산시,CB_1,1.000,2020.000,2020.000,,,,
West,군산시,CB_2,1.000,2020.000,2020.000,,,,
West,군산시,CB_3,1.000,2020.000,2020.000,,,,
West,김포시,CB_1,1.000,2020.000,2020.000,,,,
West,김포시,CB_2,1.000,2020.000,2020.000,,,,
West,김포시,CB_3,1.000,2020.000,2020.000,,,,
West,당진시,CB_1,1.000,2020.000,2020.000,,,,
West,당진시,CB_2,1.000,2020.000,2020.000,,,,
West,당진시,CB_3,1.000,2020.000,2020.000,,,,
West,목포시,CB_1,1.000,2020.000,2020.000,,,,
West,목포시,CB_2,1.000,2020.000,2020.000,,,,
West,목포시,CB_3,1.000,2020.000,2020.000,,,,
West,무안군,CB_1,1.000,2020.000,2020.000,,,,
West,무안군,CB_2,1.000,2020.000,2020.000,,,,
West,무안군,CB_3,1.000,2020.000,2020.000,,,,
West,보령시,CB_1,1.000,2020.000,2020.000,,,,
West,보령시,CB_2,1.000,2020.000,2020.000,,,,
West,보령시,CB_3,1.000,2020.000,2020.000,,,,
West,부안군,CB_1,1.000,2020.000,2020.000,,,,
West,부안군,CB_2,1.000,2020.000,2020.000,,,,
West,부안군,CB_3,1.000,2020.000,2020.000,,,,
West,서산시,CB_1,1.000,2020.000,2020.000,,,,
West,서산시,CB_2,1.000,2020.000,2020.000,,,,
West,서산시,CB_3,1.000,2020.000,2020.000,,,,
West,서천군,CB_1,1.000,2020.000,2020.000,,,,
West,서천군,CB_2,1.000,2020.000,2020.000,,,,
West,서천군,CB_3,1.000,2020.000,2020.000,,,,
West,시흥시,CB_1,1.000,2020.000,2020.000,,,,
West,시흥시,CB_2,1.000,2020.000,2020.000,,,,
West,시흥시,CB_3,1.000,2020.000,2020.000,,,,
West,신안군,CB_1,1.000,2020.000,2020.000,,,,
West,신안군,CB_2,1.000,2020.000,2020.000,,,,
West,신안군,CB_3,1.000,2020.000,2020.000,,,,
West,안산시,CB_1,1.000,2020.000,2020.000,,,,
West,안산시,CB_2,1.000,2020.000,2020.000,,,,
West,안산시,CB_3,1.000,2020.000,2020.000,,,,
West,영광군,CB_1,1.000,2020.000,2020.000,,,,
West,영광군,CB_2,1.000,2020.000,2020.000,,,,
West,영광군,CB_3,1.000,2020.000,2020.000,,,,
West,영암군,CB_1,1.000,2020.000,2020.000,,,,
West,영암군,CB_2,1.000,2020.000,2020.000,,,,
West,영암군,CB_3,1.000,2020.000,2020.000,,,,
West,인천광역시,CB_1,1.000,2020.000,2020.000,,,,
West,인천광역시,CB_2,1.000,2020.000,2020.000,,,,
West,인천광역시,CB_3,1.000,2020.000,2020.000,,,,
West,진도군,CB_1,1.000,2020.000,2020.000,,,,
West,진도군,CB_2,1.000,2020.000,2020.000,,,,
West,진도군,CB_3,1.000,2020.000,2020.000,,,,
West,태안군,CB_1,1.000,2020.000,2020.000,,,,
West,태안군,CB_2,1.000,2020.000,2020.000,,,,
West,태안군,CB_3,1.000,2020.000,2020.000,,,,
West,함평군,CB_1,1.000,2020.000,2020.000,,,,
West,함평군,CB_2,1.000,2020.000,2020.000,,,,
West,함평군,CB_3,1.000,2020.000,2020.000,,,,
West,해남군,CB_1,1.000,2020.000,2020.000,,,,
West,해남군,CB_2,1.000,2020.000,2020.000,,,,
West,해남군,CB_3,1.000,2020.000,2020.000,,,,
West,홍성군,CB_1,1.000,2020.000,2020.000,,,,
West,홍성군,CB_2,1.000,2020.000,2020.000,,,,
West,홍성군,CB_3,1.000,2020.000,2020.000,,,,
West,화성시,CB_1,1.000,2020.000,2020.000,,,,
West,화성시,CB_2,1.000,2020.000,2020.000,,,,
West,화성시,CB_3,1.000,2020.000,2020.000,,,,
